Date,EXPN.L,^FTSE
2014-01-01,863.1854248046875,6510.39990234375
2014-02-01,897.2147827148438,6809.7001953125
2014-03-01,897.2147827148438,6598.39990234375
2014-04-01,942.8641357421875,6780.0
2014-05-01,860.6953735351562,6844.5
2014-06-01,820.0261840820312,6743.89990234375
2014-07-01,857.212890625,6730.10009765625
2014-08-01,883.3424682617188,6819.7998046875
2014-09-01,828.9762573242188,6622.7001953125
2014-10-01,791.0465087890625,6546.5
2014-11-01,853.8413696289062,6722.60009765625
2014-12-01,917.0575561523438,6566.10009765625
2015-01-01,988.7028198242188,6749.39990234375
2015-02-01,1017.3499755859375,6946.7001953125
2015-03-01,948.5643310546875,6773.0
2015-04-01,991.8739624023438,6960.60009765625
2015-05-01,1058.112060546875,6984.39990234375
2015-06-01,984.2311401367188,6521.0
2015-07-01,1034.6951904296875,6696.2998046875
2015-08-01,955.4345703125,6247.89990234375
2015-09-01,911.4965209960938,6061.60009765625
2015-10-01,954.5730590820312,6361.10009765625
2015-11-01,1060.5408935546875,6356.10009765625
2015-12-01,1034.6951904296875,6242.2998046875
2016-01-01,1032.486083984375,6083.7998046875
2016-02-01,1026.4124755859375,6097.10009765625
2016-03-01,1080.205810546875,6174.89990234375
2016-04-01,1085.4117431640625,6241.89990234375
2016-05-01,1133.131591796875,6230.7998046875
2016-06-01,1225.10107421875,6504.2998046875
2016-07-01,1301.91357421875,6724.39990234375
2016-08-01,1334.5274658203125,6781.5
2016-09-01,1360.9713134765625,6899.2998046875
2016-10-01,1386.5335693359375,6954.2001953125
2016-11-01,1331.0015869140625,6783.7998046875
2016-12-01,1387.4149169921875,7142.7998046875
2017-01-01,1356.85205078125,7099.2001953125
2017-02-01,1417.1959228515625,7263.39990234375
2017-03-01,1444.7056884765625,7322.89990234375
2017-04-01,1472.2154541015625,7203.89990234375
2017-05-01,1435.83154296875,7520.0
2017-06-01,1397.6727294921875,7312.7001953125
2017-07-01,1355.553466796875,7372.0
2017-08-01,1397.8299560546875,7430.60009765625
2017-09-01,1348.357177734375,7372.7998046875
2017-10-01,1426.61376953125,7493.10009765625
2017-11-01,1383.4378662109375,7326.7001953125
2017-12-01,1471.58935546875,7687.7998046875
2018-01-01,1459.895751953125,7533.60009765625
2018-02-01,1408.1202392578125,7231.89990234375
2018-03-01,1391.378662109375,7056.60009765625
2018-04-01,1508.5711669921875,7509.2998046875
2018-05-01,1666.48681640625,7678.2001953125
2018-06-01,1696.3505859375,7636.89990234375
2018-07-01,1717.668701171875,7748.7998046875
2018-08-01,1759.831298828125,7432.39990234375
2018-09-01,1806.11865234375,7510.2001953125
2018-10-01,1652.13330078125,7128.10009765625
2018-11-01,1747.45751953125,6980.2001953125
2018-12-01,1746.082763671875,6728.10009765625
2019-01-01,1752.4986572265625,6968.89990234375
2019-02-01,1810.196044921875,7074.7001953125
2019-03-01,1916.677978515625,7279.2001953125
2019-04-01,2051.278564453125,7418.2001953125
2019-05-01,2200.630126953125,7161.7001953125
2019-06-01,2197.86474609375,7425.60009765625
2019-07-01,2330.086669921875,7586.7998046875
2019-08-01,2346.86328125,7207.2001953125
2019-09-01,2422.358154296875,7408.2001953125
2019-10-01,2262.98046875,7248.39990234375
2019-11-01,2388.804931640625,7346.5
2019-12-01,2378.552490234375,7542.39990234375
2020-01-01,2457.77490234375,7286.0
2020-02-01,2425.45361328125,6580.60009765625
2020-03-01,2107.1767578125,5672.0
2020-04-01,2224.190185546875,5901.2001953125
2020-05-01,2633.26904296875,6076.60009765625
2020-06-01,2638.8857421875,6169.7001953125
2020-07-01,2529.4541015625,5897.7998046875
2020-08-01,2636.225830078125,5963.60009765625
2020-09-01,2759.06103515625,5866.10009765625
2020-10-01,2661.7373046875,5577.2998046875
2020-11-01,2500.162353515625,6266.2001953125
2020-12-01,2623.9423828125,6460.5
2021-01-01,2415.123291015625,6407.5
2021-02-01,2155.7138671875,6483.39990234375
2021-03-01,2368.15576171875,6713.60009765625
2021-04-01,2647.93408203125,6969.7998046875
2021-05-01,2563.526611328125,7022.60009765625
2021-06-01,2642.243408203125,7037.5
2021-07-01,3029.99169921875,7032.2998046875
2021-08-01,3064.423583984375,7119.7001953125
2021-09-01,2973.561767578125,7086.39990234375
2021-10-01,3201.19384765625,7237.60009765625
2021-11-01,3232.75634765625,7059.5
2021-12-01,3473.7783203125,7384.5
2022-01-01,2946.78173828125,7464.39990234375
2022-02-01,2814.4423828125,7458.2998046875
2022-03-01,2831.71435546875,7515.7001953125
2022-04-01,2679.1416015625,7544.60009765625
2022-05-01,2548.638916015625,7607.7001953125
2022-06-01,2308.744384765625,7169.2998046875
2022-07-01,2782.989990234375,7423.39990234375
2022-08-01,2549.697509765625,7284.2001953125
2022-09-01,2586.635009765625,6893.7998046875
2022-10-01,2696.477294921875,7094.5
2022-11-01,2823.81640625,7573.10009765625
2022-12-01,2734.38720703125,7451.7001953125
2023-01-01,2870.47509765625,7771.7001953125
2023-02-01,2739.788818359375,7876.2998046875
2023-03-01,2598.15966796875,7631.7001953125
2023-04-01,2744.672607421875,7870.60009765625
2023-05-01,2766.1611328125,7446.10009765625
2023-06-01,2947.836669921875,7531.5
2023-07-01,2969.27734375,7699.39990234375
2023-08-01,2725.5380859375,7439.10009765625
2023-09-01,2655.4755859375,7608.10009765625
2023-10-01,2458.11572265625,7321.7001953125
2023-11-01,2864.677001953125,7453.7998046875
2023-12-01,3159.7294921875,7733.2001953125
